;ds;top_level;middle_level;bottom_level;y
8344;2011-09-01;Brasil;Rio Grande do Norte;Aérea;2116.0
8345;2011-09-01;Brasil;Rio Grande do Norte;Marítima;0.0
8346;2011-10-01;Brasil;Rio Grande do Norte;Aérea;3971.0
8347;2011-10-01;Brasil;Rio Grande do Norte;Marítima;2.0
8348;2011-11-01;Brasil;Rio Grande do Norte;Aérea;4028.0
8349;2011-11-01;Brasil;Rio Grande do Norte;Marítima;200.0
8350;2011-12-01;Brasil;Rio Grande do Norte;Aérea;5529.0
8351;2011-12-01;Brasil;Rio Grande do Norte;Marítima;8.0
8352;2011-01-01;Brasil;Rio Grande do Sul;Aérea;9350.0
8353;2011-01-01;Brasil;Rio Grande do Sul;Fluvial;3729.0
8354;2011-01-01;Brasil;Rio Grande do Sul;Marítima;15.0
8355;2011-01-01;Brasil;Rio Grande do Sul;Terrestre;156336.0
8356;2011-02-01;Brasil;Rio Grande do Sul;Aérea;8001.0
8357;2011-02-01;Brasil;Rio Grande do Sul;Fluvial;2008.0
8358;2011-02-01;Brasil;Rio Grande do Sul;Marítima;11.0
8359;2011-02-01;Brasil;Rio Grande do Sul;Terrestre;80161.0
8360;2011-03-01;Brasil;Rio Grande do Sul;Aérea;8842.0
8361;2011-03-01;Brasil;Rio Grande do Sul;Fluvial;573.0
8362;2011-03-01;Brasil;Rio Grande do Sul;Marítima;15.0
8363;2011-03-01;Brasil;Rio Grande do Sul;Terrestre;58683.0
8364;2011-04-01;Brasil;Rio Grande do Sul;Aérea;7678.0
8365;2011-04-01;Brasil;Rio Grande do Sul;Fluvial;1016.0
8366;2011-04-01;Brasil;Rio Grande do Sul;Marítima;0.0
8367;2011-04-01;Brasil;Rio Grande do Sul;Terrestre;57753.0
8368;2011-05-01;Brasil;Rio Grande do Sul;Aérea;5893.0
8369;2011-05-01;Brasil;Rio Grande do Sul;Fluvial;1673.0
8370;2011-05-01;Brasil;Rio Grande do Sul;Marítima;264.0
8371;2011-05-01;Brasil;Rio Grande do Sul;Terrestre;18495.0
8372;2011-06-01;Brasil;Rio Grande do Sul;Aérea;4512.0
8373;2011-06-01;Brasil;Rio Grande do Sul;Fluvial;1211.0
8374;2011-06-01;Brasil;Rio Grande do Sul;Marítima;188.0
8375;2011-06-01;Brasil;Rio Grande do Sul;Terrestre;14622.0
8376;2011-07-01;Brasil;Rio Grande do Sul;Aérea;6420.0
8377;2011-07-01;Brasil;Rio Grande do Sul;Fluvial;2831.0
8378;2011-07-01;Brasil;Rio Grande do Sul;Marítima;324.0
8379;2011-07-01;Brasil;Rio Grande do Sul;Terrestre;26973.0
8380;2011-08-01;Brasil;Rio Grande do Sul;Aérea;8440.0
8381;2011-08-01;Brasil;Rio Grande do Sul;Fluvial;2203.0
8382;2011-08-01;Brasil;Rio Grande do Sul;Marítima;179.0
8383;2011-08-01;Brasil;Rio Grande do Sul;Terrestre;21691.0
8384;2011-09-01;Brasil;Rio Grande do Sul;Aérea;6818.0
8385;2011-09-01;Brasil;Rio Grande do Sul;Fluvial;2076.0
8386;2011-09-01;Brasil;Rio Grande do Sul;Marítima;326.0
8387;2011-09-01;Brasil;Rio Grande do Sul;Terrestre;19861.0
8388;2011-10-01;Brasil;Rio Grande do Sul;Aérea;8374.0
8389;2011-10-01;Brasil;Rio Grande do Sul;Fluvial;3307.0
8390;2011-10-01;Brasil;Rio Grande do Sul;Marítima;351.0
8391;2011-10-01;Brasil;Rio Grande do Sul;Terrestre;29895.0
8392;2011-11-01;Brasil;Rio Grande do Sul;Aérea;10168.0
8393;2011-11-01;Brasil;Rio Grande do Sul;Fluvial;2938.0
8394;2011-11-01;Brasil;Rio Grande do Sul;Marítima;296.0
8395;2011-11-01;Brasil;Rio Grande do Sul;Terrestre;40934.0
8396;2011-12-01;Brasil;Rio Grande do Sul;Aérea;11189.0
8397;2011-12-01;Brasil;Rio Grande do Sul;Fluvial;5385.0
8398;2011-12-01;Brasil;Rio Grande do Sul;Marítima;99.0
8399;2011-12-01;Brasil;Rio Grande do Sul;Terrestre;72772.0
8400;2011-01-01;Brasil;Rio de Janeiro;Aérea;82398.0
8401;2011-01-01;Brasil;Rio de Janeiro;Marítima;17841.0
8402;2011-02-01;Brasil;Rio de Janeiro;Aérea;93728.0
8403;2011-02-01;Brasil;Rio de Janeiro;Marítima;19408.0
8404;2011-03-01;Brasil;Rio de Janeiro;Aérea;100603.0
8405;2011-03-01;Brasil;Rio de Janeiro;Marítima;13619.0
8406;2011-04-01;Brasil;Rio de Janeiro;Aérea;80486.0
8407;2011-04-01;Brasil;Rio de Janeiro;Marítima;1895.0
8408;2011-05-01;Brasil;Rio de Janeiro;Aérea;64152.0
8409;2011-05-01;Brasil;Rio de Janeiro;Marítima;566.0
8410;2011-06-01;Brasil;Rio de Janeiro;Aérea;59048.0
8411;2011-06-01;Brasil;Rio de Janeiro;Marítima;351.0
8412;2011-07-01;Brasil;Rio de Janeiro;Aérea;73841.0
8413;2011-07-01;Brasil;Rio de Janeiro;Marítima;398.0
8414;2011-08-01;Brasil;Rio de Janeiro;Aérea;70032.0
8415;2011-08-01;Brasil;Rio de Janeiro;Marítima;428.0
8416;2011-09-01;Brasil;Rio de Janeiro;Aérea;66467.0
8417;2011-09-01;Brasil;Rio de Janeiro;Marítima;521.0
8418;2011-10-01;Brasil;Rio de Janeiro;Aérea;82698.0
8419;2011-10-01;Brasil;Rio de Janeiro;Marítima;290.0
8420;2011-11-01;Brasil;Rio de Janeiro;Aérea;96149.0
8421;2011-11-01;Brasil;Rio de Janeiro;Marítima;1796.0
8422;2011-12-01;Brasil;Rio de Janeiro;Aérea;108783.0
8423;2011-12-01;Brasil;Rio de Janeiro;Marítima;9433.0
8424;2011-01-01;Brasil;Santa Catarina;Aérea;32142.0
8425;2011-01-01;Brasil;Santa Catarina;Marítima;7991.0
8426;2011-01-01;Brasil;Santa Catarina;Terrestre;34568.0
8427;2011-02-01;Brasil;Santa Catarina;Aérea;26888.0
8428;2011-02-01;Brasil;Santa Catarina;Marítima;7616.0
8429;2011-02-01;Brasil;Santa Catarina;Terrestre;12986.0
8430;2011-03-01;Brasil;Santa Catarina;Aérea;8434.0
8431;2011-03-01;Brasil;Santa Catarina;Marítima;2842.0
8432;2011-03-01;Brasil;Santa Catarina;Terrestre;3416.0
8433;2011-04-01;Brasil;Santa Catarina;Aérea;4453.0
8434;2011-04-01;Brasil;Santa Catarina;Marítima;0.0
8435;2011-04-01;Brasil;Santa Catarina;Terrestre;2089.0
8436;2011-05-01;Brasil;Santa Catarina;Aérea;901.0
8437;2011-05-01;Brasil;Santa Catarina;Marítima;134.0
8438;2011-05-01;Brasil;Santa Catarina;Terrestre;762.0
8439;2011-06-01;Brasil;Santa Catarina;Aérea;310.0
8440;2011-06-01;Brasil;Santa Catarina;Marítima;81.0
8441;2011-06-01;Brasil;Santa Catarina;Terrestre;446.0
8442;2011-07-01;Brasil;Santa Catarina;Aérea;761.0
8443;2011-07-01;Brasil;Santa Catarina;Marítima;127.0
8444;2011-07-01;Brasil;Santa Catarina;Terrestre;1074.0
8445;2011-08-01;Brasil;Santa Catarina;Aérea;627.0
8446;2011-08-01;Brasil;Santa Catarina;Marítima;187.0
8447;2011-08-01;Brasil;Santa Catarina;Terrestre;632.0
8448;2011-09-01;Brasil;Santa Catarina;Aérea;2048.0
8449;2011-09-01;Brasil;Santa Catarina;Marítima;79.0
8450;2011-09-01;Brasil;Santa Catarina;Terrestre;722.0
8451;2011-10-01;Brasil;Santa Catarina;Aérea;1222.0
8452;2011-10-01;Brasil;Santa Catarina;Marítima;65.0
8453;2011-10-01;Brasil;Santa Catarina;Terrestre;1342.0
8454;2011-11-01;Brasil;Santa Catarina;Aérea;2459.0
